=== SEGMENTY Z TIMESTAMPAMI ===
[0.00s - 0.28s]  Mówię
[2209.54s - 2209.54s]  bo
[2209.54s - 2209.54s]  to
[2209.54s - 2209.54s]  jest,
[2209.54s - 2209.54s]  bo
[2209.54s - 2209.54s]  to
[2209.54s - 2209.54s]  jest,
[2209.54s - 2209.54s]  bo
[2209.54s - 2209.54s]  to
[2209.54s - 2209.54s]  jest,
[2209.54s - 2209.54s]  bo
[2209.54s - 2209.54s]  to
[2209.54s - 2209.54s]  jest,
[2209.54s - 2209.54s]  bo
[2209.54s - 2209.54s]  to
[2209.54s - 2209.54s]  jest,
[2209.54s - 2209.54s]  bo
[2209.54s - 2209.54s]  to
[2209.54s - 2209.54s]  jest,
[2209.54s - 2209.54s]  bo
[2209.54s - 2209.54s]  to
[2209.54s - 2209.54s]  jest,
[2209.54s - 2209.54s]  bo
[2209.54s - 2209.54s]  to
[2209.54s - 2209.54s]  jest,
[2209.54s - 2209.54s]  bo
[2209.54s - 2209.54s]  to
[2209.54s - 2209.54s]  jest,
[2209.54s - 2209.54s]  bo
[2209.54s - 2209.54s]  to
[2209.54s - 2209.54s]  jest,
[2209.54s - 2209.54s]  bo
[2209.54s - 2209.54s]  to
[2209.54s - 2209.54s]  jest,
[2209.54s - 2209.54s]  bo
[2209.54s - 2209.54s]  to
[2209.54s - 2209.54s]  jest,
[2209.54s - 2209.54s]  bo
[2209.54s - 2209.54s]  to
[2209.54s - 2209.54s]  jest,
[2209.54s - 2209.54s]  bo
[2209.54s - 2209.54s]  to
[2209.54s - 2209.54s]  jest,
[2209.54s - 2209.54s]  bo
[2209.54s - 2209.54s]  to
[2209.54s - 2209.54s]  jest,
[2209.54s - 2209.54s]  bo
[2209.54s - 2209.54s]  to
[2209.54s - 2209.54s]  jest,
[2209.54s - 2209.54s]  bo
[2209.54s - 2209.54s]  to
[2209.54s - 2209.54s]  jest,
[2209.54s - 2209.54s]  bo
[2209.54s - 2209.54s]  to
[2209.54s - 2209.54s]  jest,
[2209.54s - 2209.54s]  bo
[2209.54s - 2209.54s]  to
[2209.54s - 2209.54s]  jest,
[2209.54s - 2209.54s]  bo
[2209.54s - 2209.54s]  to
[2209.54s - 2209.54s]  jest,
[2209.54s - 2209.54s]  bo
[2209.54s - 2209.54s]  to
[2209.54s - 2209.54s]  jest,
[2209.54s - 2209.54s]  bo
[2209.54s - 2209.54s]  to
[2209.54s - 2209.54s]  jest,
[2209.54s - 2209.54s]  bo
[2209.54s - 2209.54s]  to
[2209.54s - 2209.54s]  jest,
[2209.54s - 2209.54s]  bo
[2209.54s - 2209.54s]  to
[2209.54s - 2209.54s]  jest,
[2209.54s - 2209.54s]  bo
[2209.54s - 2209.54s]  to
[2209.54s - 2209.54s]  jest,
[2209.54s - 2209.54s]  bo
[2209.54s - 2209.54s]  to
[2209.54s - 2209.54s]  jest,
[2209.54s - 2209.54s]  bo
[2209.54s - 2209.54s]  to
[2209.54s - 2209.54s]  jest,
[2209.54s - 2209.54s]  bo
[2209.54s - 2209.54s]  to
[2209.54s - 2209.54s]  jest,
[2209.54s - 2209.54s]  bo
[2209.54s - 2209.54s]  to
[2209.54s - 2209.54s]  jest,
[2209.54s - 2209.54s]  bo
[2209.54s - 2209.54s]  to
[2209.54s - 2209.54s]  jest,
[2209.54s - 2209.54s]  bo
[2209.54s - 2209.54s]  to
[2209.54s - 2209.54s]  jest,
[2209.54s - 2209.54s]  bo
[2209.54s - 2209.54s]  to
[2209.54s - 2209.54s]  jest,
[2209.54s - 2209.54s]  bo
[2209.54s - 2209.54s]  to
[2209.54s - 2209.54s]  jest,
[2209.54s - 2209.54s]  bo
[2209.54s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to
[2229.98s - 2229.98s]  jest
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to
[2229.98s - 2229.98s]  jest
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to
[2229.98s - 2229.98s]  jest
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to
[2229.98s - 2229.98s]  jest
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to
[2229.98s - 2229.98s]  jest
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to
[2229.98s - 2229.98s]  jest
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to
[2229.98s - 2229.98s]  jest
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to
[2229.98s - 2229.98s]  jest
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to
[2229.98s - 2229.98s]  jest
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to
[2229.98s - 2229.98s]  jest
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to
[2229.98s - 2229.98s]  jest
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to
[2229.98s - 2229.98s]  jest
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to
[2229.98s - 2229.98s]  jest
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to
[2229.98s - 2229.98s]  jest
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to
[2229.98s - 2229.98s]  jest
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to
[2229.98s - 2229.98s]  jest
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to
[2229.98s - 2229.98s]  jest
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to
[2229.98s - 2229.98s]  jest
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to
[2229.98s - 2229.98s]  jest
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to
[2229.98s - 2229.98s]  jest
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to
[2229.98s - 2229.98s]  jest
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to
[2229.98s - 2229.98s]  jest
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to
[2229.98s - 2229.98s]  jest
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to
[2229.98s - 2229.98s]  jest
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to
[2229.98s - 2229.98s]  jest
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to
[2229.98s - 2229.98s]  jest
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to
[2229.98s - 2229.98s]  jest
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że,
[2229.98s - 2229.98s]  że
[2229.98s - 2229.98s]  to,
[2229.98s - 2229.98s]  że
[2220.00s - 2220.26s]  To
[2220.26s - 2220.82s]  znaczy,
[2220.82s - 2220.90s]  po
[2220.90s - 2221.00s]  co
[2221.00s - 2221.16s]  to,
[2221.16s - 2221.32s]  co
[2221.32s - 2222.16s]  szmaczka?
[2222.34s - 2222.56s]  Otóż
[2222.56s - 2222.70s]  nie
[2222.70s - 2222.82s]  o
[2222.82s - 2222.90s]  to
[2222.90s - 2223.54s]  chodzi.
[2224.04s - 2224.12s]  Nie
[2224.12s - 2224.24s]  wiem,
[2224.24s - 2224.36s]  po
[2224.36s - 2224.54s]  skąd
[2224.54s - 2224.70s]  ich
[2224.70s - 2224.92s]  trzech
[2224.92s - 2225.54s]  kilka.
[2226.00s - 2226.36s]  bo
[2226.36s - 2226.44s]  to
[2226.44s - 2226.68s]  też
[2226.68s - 2226.84s]  w
[2226.84s - 2226.96s]  tej
[2226.96s - 2227.16s]  chwili
[2227.16s - 2228.12s]  pistejśby,
[2228.12s - 2228.58s]  to
[2228.58s - 2228.72s]  też
[2228.72s - 2229.16s]  myślę,
[2229.16s - 2230.00s]  że
[2230.00s - 2230.22s]  jest
[2230.22s - 2232.78s]  zażystą.
[2233.62s - 2234.04s]  Wiem,
[2234.04s - 2234.20s]  ja
[2234.20s - 2234.46s]  przykład
[2234.46s - 2234.92s]  postanę
[2234.92s - 2235.02s]  się
[2235.02s - 2235.10s]  to
[2235.10s - 2236.10s]  przygotowaczył.
[2236.14s - 2236.14s]  W
[2236.14s - 2236.14s]  tym
[2236.14s - 2236.54s]  prędzach
[2236.54s - 2237.14s]  nie
[2237.14s - 2237.32s]  mam
[2237.32s - 2237.48s]  do
[2237.48s - 2238.64s]  rozwoju.
[2238.80s - 2239.02s]  Muszę
[2239.02s - 2239.48s]  połączać
[2239.48s - 2239.74s]  w
[2239.74s - 2240.96s]  budrukku.
[2241.10s - 2241.58s]  Właśnie
[2241.58s - 2242.10s]  przyjeżdżać
[2242.10s - 2242.32s]  się.
[2243.96s - 2244.64s]  I
[2244.64s - 2244.96s]  zaraz
[2244.96s - 2245.24s]  chciał
[2245.24s - 2245.36s]  mi
[2245.36s - 2245.66s]  nie.
[2246.04s - 2246.12s]  Czy
[2246.12s - 2246.42s]  tarma
[2246.42s - 2246.76s]  być,
[2246.76s - 2246.86s]  to
[2246.86s - 2246.94s]  też
[2246.94s - 2247.06s]  nie
[2247.06s - 2247.16s]  było
[2247.16s - 2247.50s]  zmiany
[2247.50s - 2247.94s]  będzie.
[2248.62s - 2249.54s]  O,
[2249.54s - 2249.94s]  przecież...
[2240.00s - 2241.34s]  Cześć,
[2241.34s - 2241.58s]  właśnie
[2241.58s - 2242.12s]  przyjeżdżać
[2242.12s - 2242.24s]  się
[2242.24s - 2242.86s]  i
[2242.86s - 2244.96s]  zaraz
[2244.96s - 2245.66s]  ściobić.
[2246.04s - 2246.14s]  Czy
[2246.14s - 2246.42s]  tarma
[2246.42s - 2246.74s]  być?
[2246.74s - 2246.86s]  To
[2246.86s - 2246.94s]  też
[2246.94s - 2247.08s]  nie
[2247.08s - 2247.16s]  było
[2247.16s - 2247.52s]  zmiany
[2247.52s - 2248.16s]  będzie.
[2248.62s - 2249.02s]  A
[2249.02s - 2257.86s]  teraz
[2257.86s - 2258.14s]  jeszcze
[2258.14s - 2258.30s]  właśnie
[2258.30s - 2258.48s]  po
[2258.48s - 2258.76s]  teniencu
[2258.76s - 2258.90s]  do
[2258.90s - 2260.22s]  proporcji.
[2261.04s - 2261.22s]  Bo
[2261.22s - 2261.74s]  najbliższą,
[2261.74s - 2262.04s]  najbliższą
[2262.04s - 2262.70s]  proporcję.
[2262.90s - 2263.02s]  Tak
[2263.02s - 2263.30s]  jeszcze
[2263.30s - 2263.78s]  przeził
[2263.78s - 2264.16s]  wędzień
[2264.16s - 2264.76s]  na,
[2264.76s - 2265.60s]  przecież
[2265.60s - 2265.88s]  w
[2265.88s - 2266.26s]  hędzień,
[2266.26s - 2267.64s]  tak?
[2267.66s - 2267.94s]  Bo
[2267.94s - 2268.04s]  na
[2268.04s - 2268.14s]  tym
[2268.14s - 2268.36s]  chcemy
[2268.36s - 2268.78s]  najbardziej
[2268.78s - 2269.58s]  uczuć,
[2269.58s - 2269.86s]  czy
[2269.86s - 2270.48s]  są?
[2271.42s - 2271.78s]  Jest
[2271.78s - 2271.90s]  to
[2271.90s - 2272.20s]  myślę,
[2272.20s - 2272.38s]  że
[2272.38s - 2272.78s]  nie,
[2272.78s - 2273.02s]  przecież
[2273.02s - 2273.18s]  nie
[2273.18s - 2273.70s]  byłoby,
[2273.70s - 2273.84s]  bo
[2273.84s - 2273.94s]  też
[2273.94s - 2274.06s]  w
[2274.06s - 2274.24s]  hędzień
[2274.24s - 2274.32s]  się
[2274.32s - 2274.44s]  tam
[2274.44s - 2275.14s]  minuta.
[2275.74s - 2275.84s]  W
[2275.84s - 2276.16s]  hędzień
[2276.16s - 2276.32s]  się
[2276.32s - 2276.32s]  tam,
[2276.32s - 2276.68s]  ale
[2276.68s - 2276.82s]  już
[2276.82s - 2277.02s]  by
[2277.02s - 2277.24s]  byli
[2277.24s - 2277.36s]  w
[2277.36s - 2277.86s]  części.
[2277.94s - 2278.08s]  O,
[2278.08s - 2278.42s]  tak,
[2278.42s - 2278.66s]  no,
[2278.66s - 2278.90s]  no,
[2278.90s - 2278.98s]  no,
[2278.98s - 2279.28s]  to
[2279.28s - 2280.46s]  chyba
[2280.46s - 2282.30s]  chłopioza,
[2282.30s - 2282.62s]  żebym
[2282.62s - 2282.70s]  nie
[2282.70s - 2283.26s]  zaczniać
[2283.26s - 2283.84s]  powiedzie
[2283.84s - 2284.00s]  w
[2284.00s - 2284.22s]  jednym
[2284.22s - 2285.22s]  punktach,
[2285.22s - 2285.32s]  bo
[2285.32s - 2285.42s]  za
[2285.42s - 2286.36s]  dzinę,
[2286.36s - 2286.58s]  że
[2286.58s - 2286.94s]  będą
[2286.94s - 2287.10s]  się
[2287.10s - 2287.82s]  powiednić
[2287.82s - 2288.02s]  w
[2288.02s - 2289.16s]  moment.
[2289.28s - 2289.48s]  Tak,
[2289.48s - 2289.68s]  więc
[2289.68s - 2290.14s]  ja
[2290.14s - 2290.42s]  jestem
[2290.42s - 2290.86s]  na
[2290.86s - 2291.06s]  każdy,
[2291.06s - 2291.28s]  to
[2291.28s - 2291.36s]  jest
[2291.36s - 2291.74s]  sam.
[2292.76s - 2292.98s]  Ja
[2292.98s - 2293.12s]  się
[2293.12s - 2293.36s]  nie
[2293.36s - 2293.58s]  muszę
[2293.58s - 2293.72s]  mieć
[2293.72s - 2293.92s]  tyle
[2293.92s - 2294.34s]  sam.
[2294.34s - 2294.66s]  Chodzi
[2294.66s - 2294.76s]  o
[2294.76s - 2294.86s]  to,
[2294.86s - 2295.20s]  żeby
[2295.20s - 2295.54s]  nie
[2295.54s - 2295.72s]  było
[2295.72s - 2296.04s]  tak,
[2296.04s - 2296.10s]  że
[2296.10s - 2296.18s]  na
[2296.18s - 2296.46s]  przykład
[2296.46s - 2296.80s]  masz
[2296.80s - 2297.22s]  40
[2297.22s - 2297.62s] %
[2297.62s - 2298.10s]  czasu
[2298.10s - 2298.28s]  na
[2298.28s - 2298.54s]  jedną
[2302.22s - 2302.50s]  wiem,
[2302.50s - 2302.96s]  właśnie.
[2303.38s - 2303.42s]  Mówiłem.
[2303.52s - 2304.26s]  Mówiłem.
[2304.40s - 2304.88s]  Mówiłem.
[2305.34s - 2305.86s]  Mówiłem.
[2306.64s - 2306.64s]  Mówiłem.
[2307.86s - 2308.00s]  Mówiłem.
[2309.16s - 2309.16s]  Mówiłem.
[2310.52s - 2310.78s]  Mówiłem.
[2311.08s - 2311.16s]  Mówiłem.
[2311.80s - 2311.80s]  Mówiłem.
[2312.68s - 2312.68s]  Mówiłem.
[2313.90s - 2313.90s]  Mówiłem.
[2314.48s - 2314.48s]  Mówiłem.
[2315.22s - 2316.22s]  Mówiłem.
[2317.30s - 2317.62s]  Mówiłem.
[2318.10s - 2318.44s]  Mówiłem.
[2319.50s - 2319.72s]  Mówiłem.
[2320.06s - 2320.30s]  Mówiłem.
[2320.84s - 2321.36s]  Mówiłem.
[2321.36s - 2322.40s]  Mówiłem.
[2323.10s - 2323.64s]  Mówiłem.
[2323.72s - 2323.88s]  Mówiłem.
[2324.74s - 2325.92s]  Mówiłem.
[2326.28s - 2326.28s]  Mówiłem.
[2326.92s - 2327.66s]  Mówiłem.
[2327.88s - 2328.18s]  Mówiłem.
[2329.00s - 2329.98s]  Zobaczcie,
[2329.98s - 2329.98s]  że
[2329.98s - 2329.98s]  to
[2329.98s - 2329.98s]  nie
[2329.98s - 2329.98s]  jest,
[2329.98s - 2329.98s]  że
[2329.98s - 2329.98s]  to
[2329.98s - 2329.98s]  nie
[2329.98s - 2329.98s]  jest,
[2329.98s - 2329.98s]  że
[2329.98s - 2329.98s]  to
[2329.98s - 2329.98s]  nie
[2329.98s - 2329.98s]  jest,
[2329.98s - 2329.98s]  że
[2329.98s - 2329.98s]  to
[2329.98s - 2329.98s]  nie
[2329.98s - 2329.98s]  jest,
[2329.98s - 2329.98s]  że
[2329.98s - 2329.98s]  to
[2329.98s - 2329.98s]  nie
[2329.98s - 2329.98s]  jest,
[2329.98s - 2329.98s]  że
[2329.98s - 2329.98s]  to
[2329.98s - 2329.98s]  nie
[2329.98s - 2329.98s]  jest,
[2329.98s - 2329.98s]  że
[2329.98s - 2329.98s]  to
[2329.98s - 2329.98s]  nie
[2329.98s - 2329.98s]  jest,
[2329.98s - 2329.98s]  że
[2329.98s - 2329.98s]  to
[2329.98s - 2329.98s]  nie
[2329.98s - 2329.98s]  jest,
[2329.98s - 2329.98s]  że
[2329.98s - 2329.98s]  to
[2329.98s - 2329.98s]  nie
[2329.98s - 2329.98s]  jest,
[2329.98s - 2329.98s]  że
[2329.98s - 2329.98s]  to
[2329.98s - 2329.98s]  nie
[2329.98s - 2329.98s]  jest,
[2329.98s - 2329.98s]  że
[2329.98s - 2329.98s]  to
[2329.98s - 2329.98s]  nie
[2329.98s - 2329.98s]  jest,
[2329.98s - 2329.98s]  że
[2329.98s - 2329.98s]  to
[2329.98s - 2329.98s]  nie
[2329.98s - 2329.98s]  jest,
[2329.98s - 2329.98s]  że
[2329.98s - 2329.98s]  to
[2329.98s - 2329.98s]  nie
[2329.98s - 2329.98s]  jest,
[2329.98s - 2329.98s]  że
[2329.98s - 2329.98s]  to
[2329.98s - 2329.98s]  nie
[2329.98s - 2329.98s]  jest,
[2329.98s - 2329.98s]  że
[2329.98s - 2329.98s]  to
[2329.98s - 2329.98s]  nie
[2329.98s - 2329.98s]  jest,
[2329.98s - 2329.98s]  że
[2329.98s - 2329.98s]  to
[2329.98s - 2329.98s]  nie
[2329.98s - 2329.98s]  jest,
[2329.98s - 2329.98s]  że
[2329.98s - 2329.98s]  to
[2329.98s - 2329.98s]  nie
[2329.98s - 2329.98s]  jest,
[2329.98s - 2329.98s]  że
[2329.98s - 2329.98s]  to
[2329.98s - 2329.98s]  nie
[2329.98s - 2329.98s]  jest,
[2329.98s - 2329.98s]  że
[2329.98s - 2329.98s]  to
[2329.98s - 2329.98s]  nie
[2329.98s - 2329.98s]  jest,
[2329.98s - 2329.98s]  że
[2329.98s - 2329.98s]  to
[2329.98s - 2329.98s]  nie
[2329.98s - 2329.98s]  jest,
[2329.98s - 2329.98s]  że
[2329.98s - 2329.98s]  to
[2329.98s - 2329.98s]  nie
[2329.98s - 2329.98s]  jest,
[2329.98s - 2329.98s]  że
[2329.98s - 2329.98s]  to
[2329.98s - 2329.98s]  nie
[2329.98s - 2329.98s]  jest,
[2329.98s - 2329.98s]  że
[2329.98s - 2329.98s]  to
[2329.98s - 2329.98s]  nie
[2329.98s - 2329.98s]  jest,
[2329.98s - 2329.98s]  że
[2329.98s - 2329.98s]  to
[2329.98s - 2329.98s]  nie
[2329.98s - 2329.98s]  jest,
[2329.98s - 2329.98s]  że
[2329.98s - 2329.98s]  to
[2329.98s - 2329.98s]  nie
[2329.98s - 2329.98s]  jest,
[2329.98s - 2329.98s]  że
[2329.98s - 2329.98s]  to
[2329.98s - 2329.98s]  nie
[2329.98s - 2329.98s]  jest,
[2329.98s - 2329.98s]  że
[2329.98s - 2329.98s]  to
[2329.98s - 2329.98s]  nie
[2329.98s - 2329.98s]  jest,
[2329.98s - 2329.98s]  że
[2329.98s - 2329.98s]  to
[2329.98s - 2329.98s]  nie
[2329.98s - 2329.98s]  jest,
[2329.98s - 2329.98s]  że
[2329.98s - 2329.98s]  to
[2329.98s - 2329.98s]  nie
[2329.98s - 2329.98s]  jest,
[2329.98s - 2329.98s]  że
[2329.98s - 2329.98s]  ta
[2329.98s - 2329.98s]  nie
[2329.98s - 2329.98s]  jest,
[2329.98s - 2329.98s]  że
[2329.98s - 2329.98s]  ta
[2329.98s - 2329.98s]  nie
[2329.98s - 2329.98s]  jest,
[2329.98s - 2329.98s]  że
[2329.98s - 2329.98s]  ta
[2329.98s - 2329.98s]  nie
[2329.98s - 2329.98s]  jest,
[2329.98s - 2329.98s]  że
[2329.98s - 2329.98s]  ta
[2329.98s - 2329.98s]  nie
[2329.98s - 2329.98s]  jest,
[2329.98s - 2329.98s]  że
[2329.98s - 2329.98s]  ta
[2329.98s - 2329.98s]  nie
[2329.98s - 2329.98s]  jest,
[2329.98s - 2329.98s]  że
[2329.98s - 2329.98s]  ta
[2329.98s - 2329.98s]  nie
[2329.98s - 2329.98s]  jest,
[2329.98s - 2329.98s]  że
[2329.98s - 2329.98s]  ta
[2329.98s - 2329.98s]  nie
[2329.98s - 2329.98s]  jest,
[2329.98s - 2329.98s]  że
[2329.98s - 2329.98s]  ta
[2329.98s - 2329.98s]  nie
[2329.98s - 2329.98s]  jest,
[2329.98s - 2329.98s]  że
[2329.98s - 2329.98s]  ta
[2329.98s - 2329.98s]  nie
[2329.98s - 2329.98s]  jest,
[2329.98s - 2329.98s]  że
[2329.98s - 2329.98s]  ta
[2329.98s - 2329.98s]  nie
[2329.98s - 2329.98s]  jest,
[2329.98s - 2329.98s]  że
[2329.98s - 2329.98s]  ta
[2329.98s - 2329.98s]  nie
[2329.98s - 2329.98s]  jest,
[2329.98s - 2329.98s]  że
[2329.98s - 2329.98s]  ta
[2329.98s - 2329.98s]  nie
[2329.98s - 2329.98s]  jest,
[2329.98s - 2329.98s]  że
[2329.98s - 2329.98s]  ta
[2329.98s - 2329.98s]  nie
[2329.98s - 2329.98s]  jest,
[2329.98s - 2329.98s]  że
[2329.98s - 2329.98s]  ta
[2329.98s - 2329.98s]  nie
[2329.98s - 2329.98s]  jest,
[2329.98s - 2329.98s]  że
[2329.98s - 2329.98s]  ta
[2329.98s - 2329.98s]  nie
[2329.98s - 2329.98s]  jest,
[2329.98s - 2329.98s]  że
[2329.98s - 2329.98s]  ta
[2329.98s - 2329.98s]  nie
[2329.98s - 2329.98s]  jest,
[2329.98s - 2329.98s]  że
[2329.98s - 2329.98s]  ta
[2329.98s - 2329.98s]  nie
[2329.98s - 2329.98s]  jest,
[2329.98s - 2329.98s]  że
[2329.98s - 2329.98s]  ta
[2329.98s - 2329.98s]  nie
[2329.98s - 2329.98s]  jest,
[2329.98s - 2329.98s]  że
[2329.98s - 2329.98s]  ta
[2329.98s - 2329.98s]  nie
[2329.98s - 2329.98s]  jest,
[2329.98s - 2329.98s]  że
[2329.98s - 2329.98s]  ta
[2329.98s - 2329.98s]  nie
[2329.98s - 2329.98s]  jest,
[2329.98s - 2329.98s]  że
[2329.98s - 2329.98s]  ta
[2329.98s - 2329.98s]  nie
[2329.98s - 2329.98s]  jest,
[2329.98s - 2329.98s]  że
[2329.98s - 2329.98s]  ta
[2329.98s - 2329.98s]  nie
[2329.98s - 2329.98s]  jest,
[2329.98s - 2329.98s]  że
[2329.98s - 2329.98s]  ta
