=== SEGMENTY Z TIMESTAMPAMI ===
[0.00s - 0.38s]  Mówię,
[2119.88s - 2119.88s]  to,
[2119.88s - 2119.88s]  to,
[2119.88s - 2119.96s]  to,
[2119.96s - 2119.96s]  to,
[2119.96s - 2119.96s]  to,
[2119.96s - 2119.96s]  to,
[2119.96s - 2120.46s]  to,
[2120.46s - 2120.76s]  to,
[2120.76s - 2120.76s]  to,
[2120.76s - 2120.86s]  to,
[2120.86s - 2120.86s]  to,
[2120.86s - 2120.86s]  to,
[2120.86s - 2120.86s]  to,
[2120.86s - 2120.86s]  to,
[2120.86s - 2120.86s]  to,
[2120.86s - 2120.86s]  to,
[2120.86s - 2120.86s]  to,
[2120.86s - 2120.86s]  to,
[2120.86s - 2120.86s]  to,
[2120.86s - 2120.86s]  to,
[2120.86s - 2120.86s]  to,
[2120.86s - 2120.86s]  to,
[2120.86s - 2120.88s]  to,
[2120.88s - 2120.88s]  to,
[2120.88s - 2120.88s]  to,
[2120.88s - 2120.88s]  to,
[2120.88s - 2120.88s]  to,
[2120.88s - 2120.88s]  to,
[2120.88s - 2120.88s]  to,
[2120.88s - 2120.88s]  to,
[2120.88s - 2120.88s]  to,
[2120.88s - 2121.12s]  to,
[2121.12s - 2121.12s]  to,
[2121.12s - 2121.46s]  to,
[2121.46s - 2121.46s]  to,
[2121.46s - 2121.46s]  to,
[2121.46s - 2121.46s]  to,
[2121.46s - 2121.46s]  to,
[2121.46s - 2121.46s]  to,
[2121.46s - 2121.46s]  to,
[2121.46s - 2121.46s]  to,
[2121.46s - 2121.46s]  to,
[2121.46s - 2121.46s]  to,
[2121.46s - 2121.46s]  to,
[2121.46s - 2121.46s]  to,
[2121.46s - 2121.46s]  to,
[2121.46s - 2121.46s]  to,
[2121.46s - 2121.46s]  to,
[2121.46s - 2121.46s]  to,
[2121.46s - 2121.46s]  to,
[2121.46s - 2121.46s]  to,
[2121.46s - 2121.46s]  to,
[2121.46s - 2121.46s]  to,
[2121.46s - 2121.46s]  to,
[2121.46s - 2121.46s]  to,
[2121.46s - 2121.70s]  to,
[2121.70s - 2121.70s]  to,
[2121.70s - 2121.70s]  to,
[2121.70s - 2121.70s]  to,
[2121.70s - 2121.70s]  to,
[2121.70s - 2121.74s]  to,
[2121.74s - 2121.74s]  to,
[2121.74s - 2122.96s]  to,
[2122.96s - 2122.96s]  to,
[2122.96s - 2122.96s]  to,
[2122.96s - 2122.96s]  to,
[2122.96s - 2122.96s]  to,
[2122.96s - 2122.96s]  to,
[2122.96s - 2122.96s]  to,
[2122.96s - 2122.96s]  to,
[2122.96s - 2122.96s]  to,
[2122.96s - 2122.96s]  to,
[2122.96s - 2123.42s]  to,
[2123.42s - 2123.42s]  to,
[2123.42s - 2123.42s]  to,
[2123.42s - 2123.42s]  to,
[2123.42s - 2123.42s]  to,
[2123.42s - 2123.42s]  to,
[2123.42s - 2125.68s]  to,
[2125.68s - 2125.68s]  to,
[2125.68s - 2125.68s]  to,
[2125.68s - 2125.68s]  to,
[2125.68s - 2125.68s]  to,
[2125.68s - 2125.68s]  to,
[2125.68s - 2125.68s]  to,
[2125.68s - 2125.68s]  to,
[2125.68s - 2125.68s]  to,
[2125.68s - 2125.68s]  to,
[2125.68s - 2125.68s]  to,
[2125.68s - 2125.68s]  to,
[2125.68s - 2125.68s]  to,
[2125.68s - 2125.68s]  to,
[2125.68s - 2125.68s]  to,
[2125.68s - 2125.68s]  to,
[2125.68s - 2125.68s]  to,
[2125.68s - 2125.68s]  to,
[2125.68s - 2125.68s]  to,
[2125.68s - 2125.68s]  to,
[2125.68s - 2126.12s]  to,
[2126.12s - 2126.12s]  to,
[2126.12s - 2126.12s]  to,
[2126.12s - 2126.12s]  to,
[2126.12s - 2126.12s]  to,
[2126.12s - 2126.12s]  to,
[2126.12s - 2126.12s]  to,
[2126.12s - 2126.14s]  to,
[2126.14s - 2126.28s]  to,
[2126.28s - 2126.28s]  to,
[2126.28s - 2126.28s]  to,
[2126.28s - 2126.28s]  to,
[2126.28s - 2126.28s]  to,
[2126.28s - 2126.44s]  to,
[2126.44s - 2126.44s]  to,
[2126.44s - 2126.44s]  to,
[2126.44s - 2126.44s]  to,
[2126.44s - 2126.50s]  to,
[2126.50s - 2126.50s]  to,
[2126.50s - 2126.50s]  to,
[2126.50s - 2126.50s]  to,
[2126.50s - 2126.50s]  to,
[2126.50s - 2126.50s]  to,
[2126.50s - 2126.50s]  to,
[2126.50s - 2126.50s]  to,
[2126.50s - 2126.50s]  to,
[2126.50s - 2126.50s]  to,
[2126.50s - 2126.50s]  to,
[2126.50s - 2127.30s]  to,
[2127.30s - 2127.30s]  to,
[2127.30s - 2127.36s]  to,
[2127.36s - 2127.36s]  to,
[2127.36s - 2127.36s]  to,
[2127.36s - 2127.36s]  to,
[2127.36s - 2127.38s]  to,
[2127.38s - 2127.38s]  to,
[2127.38s - 2127.38s]  to,
[2127.38s - 2127.38s]  to,
[2127.38s - 2127.38s]  to,
[2127.38s - 2129.42s]  to,
[2129.42s - 2129.98s]  to,
[2129.98s - 2129.98s]  to
[2120.00s - 2130.40s]  So
[2140.00s - 2145.92s]  Thank
[2145.92s - 2146.84s]  you
[2146.84s - 2146.86s]  very
[2146.86s - 2149.20s]  much.
[2140.00s - 2153.46s]  I
[2153.46s - 2155.10s]  don't
[2155.10s - 2155.76s]  know,
[2155.76s - 2156.02s]  I
[2156.02s - 2156.02s]  don't
[2156.02s - 2157.02s]  know,
[2157.02s - 2157.16s]  I
[2157.16s - 2157.16s]  don't
[2157.16s - 2157.16s]  know,
[2157.16s - 2157.16s]  I
[2157.16s - 2157.16s]  don't
[2157.16s - 2157.16s]  know,
[2157.16s - 2157.16s]  I
[2157.16s - 2157.16s]  don't
[2157.16s - 2157.16s]  know,
[2157.16s - 2157.16s]  I
[2157.16s - 2157.16s]  don't
[2157.16s - 2157.16s]  know,
[2157.16s - 2157.16s]  I
[2157.16s - 2157.16s]  don't
[2157.16s - 2157.16s]  know,
[2157.16s - 2157.16s]  I
[2157.16s - 2157.16s]  don't
[2157.16s - 2157.16s]  know,
[2157.16s - 2157.16s]  I
[2157.16s - 2157.16s]  don't
[2157.16s - 2157.16s]  know,
[2157.16s - 2157.16s]  I
[2157.16s - 2157.16s]  don't
[2157.16s - 2157.16s]  know,
[2157.16s - 2157.16s]  I
[2157.16s - 2157.16s]  don't
[2157.16s - 2157.16s]  know,
[2157.16s - 2157.16s]  I
[2157.16s - 2157.16s]  don't
[2157.16s - 2157.16s]  know,
[2157.16s - 2157.16s]  I
[2157.16s - 2157.16s]  don't
[2157.16s - 2157.16s]  know,
[2157.16s - 2157.16s]  I
[2157.16s - 2157.16s]  don't
[2157.16s - 2157.16s]  know,
[2157.16s - 2157.16s]  I
[2157.16s - 2157.16s]  don't
[2157.16s - 2157.16s]  know,
[2157.16s - 2157.16s]  I
[2157.16s - 2157.16s]  don't
[2157.16s - 2157.16s]  know,
[2157.16s - 2157.16s]  I
[2157.16s - 2157.16s]  don't
[2157.16s - 2157.16s]  know,
[2157.16s - 2157.16s]  I
[2157.16s - 2157.16s]  don't
[2157.16s - 2157.16s]  know,
[2157.16s - 2157.16s]  I
[2157.16s - 2157.16s]  don't
[2157.16s - 2157.16s]  know,
[2157.16s - 2157.16s]  I
[2157.16s - 2157.16s]  don't
[2157.16s - 2157.16s]  know,
[2157.16s - 2157.16s]  I
[2157.16s - 2157.16s]  don't
[2157.16s - 2157.16s]  know,
[2157.16s - 2157.16s]  I
[2157.16s - 2157.16s]  don't
[2157.16s - 2157.16s]  know,
[2157.16s - 2157.16s]  I
[2157.16s - 2157.16s]  don't
[2157.16s - 2157.16s]  know,
[2157.16s - 2157.16s]  I
[2157.16s - 2157.16s]  don't
[2157.16s - 2157.16s]  know,
[2157.16s - 2157.16s]  I
[2157.16s - 2157.16s]  don't
[2157.16s - 2157.16s]  know,
[2157.16s - 2157.66s]  I
[2157.66s - 2157.68s]  don't
[2157.68s - 2157.68s]  know,
[2157.68s - 2157.68s]  I
[2157.68s - 2157.80s]  don't
[2157.80s - 2158.04s]  know,
[2158.04s - 2158.04s]  I
[2158.04s - 2158.04s]  don't
[2158.04s - 2158.04s]  know,
[2158.04s - 2158.04s]  I
[2158.04s - 2158.04s]  don't
[2158.04s - 2158.30s]  know,
[2158.30s - 2158.52s]  I
[2158.52s - 2158.52s]  don't
[2158.52s - 2158.64s]  know,
[2158.64s - 2161.16s]  I
[2161.16s - 2161.16s]  don't
[2161.16s - 2161.16s]  know,
[2161.16s - 2161.16s]  I
[2161.16s - 2161.16s]  don't
[2161.16s - 2161.16s]  know,
[2161.16s - 2161.16s]  I
[2161.16s - 2161.20s]  don't
[2161.20s - 2161.20s]  know,
[2161.20s - 2161.20s]  I
[2161.20s - 2161.20s]  don't
[2161.20s - 2161.20s]  know,
[2161.20s - 2161.28s]  I
[2161.28s - 2161.28s]  don't
[2161.28s - 2161.28s]  know,
[2161.28s - 2161.28s]  I
[2161.28s - 2161.28s]  don't
[2161.28s - 2161.28s]  know,
[2161.28s - 2161.28s]  I
[2161.28s - 2161.28s]  don't
[2161.28s - 2161.28s]  know,
[2161.28s - 2161.28s]  I
[2161.28s - 2161.28s]  don't
[2161.28s - 2161.28s]  know,
[2161.28s - 2161.28s]  I
[2161.28s - 2161.28s]  don't
[2161.28s - 2161.28s]  know,
[2161.28s - 2161.28s]  I
[2161.28s - 2161.28s]  don't
[2161.28s - 2161.28s]  know,
[2161.28s - 2161.28s]  I
[2161.28s - 2161.28s]  don't
[2161.28s - 2161.28s]  know,
[2161.28s - 2161.34s]  I
[2161.34s - 2161.34s]  don't
[2161.34s - 2161.34s]  know,
[2161.34s - 2161.34s]  I
[2161.34s - 2161.34s]  don't
[2161.34s - 2161.34s]  know,
[2161.34s - 2161.34s]  I
[2161.34s - 2161.34s]  don't
[2161.34s - 2161.34s]  know,
[2161.34s - 2161.34s]  I
[2161.34s - 2161.34s]  don
[2185.74s - 2185.74s]  tak,
[2185.74s - 2185.74s]  tak,
[2185.74s - 2185.74s]  tak,
[2185.74s - 2185.74s]  tak,
[2185.74s - 2185.74s]  tak,
[2185.74s - 2185.80s]  tak,
[2185.80s - 2185.80s]  tak,
[2185.80s - 2185.80s]  tak,
[2185.80s - 2185.80s]  tak,
[2185.80s - 2185.80s]  tak,
[2185.80s - 2185.80s]  tak,
[2185.80s - 2185.80s]  tak,
[2185.80s - 2185.80s]  tak,
[2185.80s - 2185.80s]  tak,
[2185.80s - 2185.80s]  tak,
[2185.80s - 2185.80s]  tak,
[2185.80s - 2185.80s]  tak,
[2185.80s - 2185.80s]  tak,
[2185.80s - 2185.80s]  tak,
[2185.80s - 2185.80s]  tak,
[2185.80s - 2185.80s]  tak,
[2185.80s - 2185.80s]  tak,
[2185.80s - 2185.80s]  tak,
[2185.80s - 2185.80s]  tak,
[2185.80s - 2185.80s]  tak,
[2185.80s - 2185.80s]  tak,
[2185.80s - 2185.80s]  tak,
[2185.80s - 2185.80s]  tak,
[2185.80s - 2186.84s]  tak,
[2186.84s - 2186.84s]  tak,
[2186.84s - 2186.84s]  tak,
[2186.84s - 2186.84s]  tak,
[2186.84s - 2186.84s]  tak,
[2186.84s - 2186.84s]  tak,
[2186.84s - 2186.84s]  tak,
[2186.84s - 2186.84s]  tak,
[2186.84s - 2186.84s]  tak,
[2186.84s - 2186.84s]  tak,
[2186.84s - 2186.84s]  tak,
[2186.84s - 2186.84s]  tak,
[2186.84s - 2186.84s]  tak,
[2186.84s - 2187.46s]  tak,
[2187.46s - 2187.64s]  tak,
[2187.64s - 2187.64s]  tak,
[2187.64s - 2187.64s]  tak,
[2187.64s - 2187.64s]  tak,
[2187.64s - 2187.64s]  tak,
[2187.64s - 2187.64s]  tak,
[2187.64s - 2187.64s]  tak,
[2187.64s - 2187.64s]  tak,
[2187.64s - 2187.64s]  tak,
[2187.64s - 2187.64s]  tak,
[2187.64s - 2187.64s]  tak,
[2187.64s - 2187.64s]  tak,
[2187.64s - 2187.66s]  tak,
[2187.66s - 2187.66s]  tak,
[2187.66s - 2187.66s]  tak,
[2187.66s - 2187.66s]  tak,
[2187.66s - 2187.66s]  tak,
[2187.66s - 2187.66s]  tak,
[2187.66s - 2187.66s]  tak,
[2187.66s - 2187.66s]  tak,
[2187.66s - 2187.66s]  tak,
[2187.66s - 2187.66s]  tak,
[2187.66s - 2187.66s]  tak,
[2187.66s - 2187.66s]  tak,
[2187.66s - 2187.66s]  tak,
[2187.66s - 2187.66s]  tak,
[2187.66s - 2187.66s]  tak,
[2187.66s - 2187.66s]  tak,
[2187.66s - 2187.66s]  tak,
[2187.66s - 2187.66s]  tak,
[2187.66s - 2187.66s]  tak,
[2187.66s - 2187.66s]  tak,
[2187.66s - 2187.66s]  tak,
[2187.66s - 2187.66s]  tak,
[2187.66s - 2187.66s]  tak,
[2187.66s - 2187.66s]  tak,
[2187.66s - 2187.66s]  tak,
[2187.66s - 2187.66s]  tak,
[2187.66s - 2187.66s]  tak,
[2187.66s - 2187.66s]  tak,
[2187.66s - 2187.66s]  tak,
[2187.66s - 2187.66s]  tak,
[2187.66s - 2187.66s]  tak,
[2187.66s - 2187.70s]  tak,
[2187.70s - 2187.70s]  tak,
[2187.70s - 2187.70s]  tak,
[2187.70s - 2187.70s]  tak,
[2187.70s - 2187.70s]  tak,
[2187.70s - 2187.70s]  tak,
[2187.70s - 2187.70s]  tak,
[2187.70s - 2187.70s]  tak,
[2187.70s - 2187.70s]  tak,
[2187.70s - 2187.70s]  tak,
[2187.70s - 2187.70s]  tak,
[2187.70s - 2187.70s]  tak,
[2187.70s - 2187.70s]  tak,
[2187.70s - 2187.70s]  tak,
[2187.70s - 2187.70s]  tak,
[2187.70s - 2187.70s]  tak,
[2187.70s - 2187.70s]  tak,
[2187.70s - 2188.44s]  tak,
[2188.44s - 2188.46s]  tak,
[2188.46s - 2189.96s]  tak,
[2189.96s - 2189.96s]  tak,
[2189.96s - 2189.96s]  tak,
[2189.96s - 2189.96s]  tak,
[2189.96s - 2189.96s]  tak,
[2189.96s - 2189.96s]  tak,
[2189.96s - 2189.96s]  tak,
[2189.96s - 2189.96s]  tak,
[2189.96s - 2189.96s]  tak,
[2189.96s - 2189.96s]  tak,
[2189.96s - 2189.96s]  tak,
[2180.00s - 2182.98s]  Możemy,
[2182.98s - 2183.64s]  możemy,
[2183.64s - 2183.80s]  że
[2183.80s - 2184.06s]  to
[2184.06s - 2184.62s]  symbolować
[2184.62s - 2184.96s]  wyniki
[2184.96s - 2186.10s]  tak,
[2186.10s - 2186.78s]  wtedy,
[2186.78s - 2187.08s]  możemy
[2187.08s - 2187.78s]  zastanować
[2187.78s - 2188.14s]  wyniki,
[2188.14s - 2188.34s]  jak
[2188.34s - 2188.38s]  i
[2188.38s - 2189.92s]  będą.
[2193.44s - 2197.44s]  No
[2197.44s - 2197.58s]  to
[2197.58s - 2198.00s]  jest,
[2198.00s - 2198.14s]  ale
[2198.14s - 2198.78s]  może,
[2198.78s - 2199.82s]  może
[2199.82s - 2199.98s]  to
[2199.98s - 2200.10s]  się
[2200.10s - 2200.80s]  nagrać
[2200.80s - 2203.04s]  tak,
[2203.04s - 2203.18s]  to
[2203.18s - 2203.26s]  to
[2203.26s - 2204.48s]  jest
[2204.48s - 2224.56s]  eksperyłam,
[2224.56s - 2224.74s]  jak
[2224.74s - 2224.90s]  się
[2224.90s - 2225.58s]  klikam.
[2226.00s - 2226.08s]  Wydaje
[2226.08s - 2226.26s]  się,
[2226.26s - 2226.38s]  bo
[2226.38s - 2226.48s]  są
[2226.48s - 2226.64s]  też
[2226.64s - 2226.94s]  swoje
[2226.94s - 2227.74s]  pisa
[2227.74s - 2227.86s]  i
[2227.86s - 2228.02s]  zbyt
[2228.02s - 2228.42s]  ten,
[2228.42s - 2228.72s]  też
[2228.72s - 2229.66s]  wydarzyli.
[2229.96s - 2230.08s]  Czyli
[2230.08s - 2230.30s]  jest
[2230.30s - 2231.32s]  zażysta.
[2233.68s - 2234.18s]  Ja
[2234.18s - 2234.56s]  przykłop
[2234.56s - 2234.90s]  postanę
[2234.90s - 2235.00s]  się
[2235.00s - 2235.18s]  to,
[2235.18s - 2235.26s]  że
[2235.26s - 2235.48s]  to
[2235.48s - 2235.64s]  ma
[2235.64s - 2235.78s]  się
[2235.78s - 2236.12s]  dziwnym
[2236.12s - 2236.86s]  prezentazji.
[2236.88s - 2237.20s]  Nie
[2237.20s - 2237.34s]  mam
[2237.34s - 2237.48s]  to
[2237.48s - 2238.36s]  rozwalić.
[2238.96s - 2239.04s]  Musisz
[2239.04s - 2239.54s]  pojęć,
[2239.54s - 2239.68s]  ale
[2239.68s - 2240.54s]  wygruł.
[2241.22s - 2241.58s]  Właśnie
[2241.58s - 2241.96s]  przyjrzeć
[2241.96s - 2242.62s]  się...
[2244.26s - 2244.70s]  I
[2244.70s - 2245.08s]  wyraźć
[2245.08s - 2245.20s]  o
[2245.20s - 2245.76s]  pinie.
[2246.04s - 2246.12s]  Czy
[2246.12s - 2246.28s]  tak
[2246.28s - 2246.44s]  ma
[2246.44s - 2246.76s]  być,
[2246.76s - 2246.88s]  coś
[2246.88s - 2247.10s]  nie
[2247.10s - 2247.48s]  zmiany
[2247.48s - 2247.98s]  będzie.
[2248.92s - 2249.46s]  O,
[2249.46s - 2249.90s]  wszystko.
[2240.00s - 2240.60s]  Wydaje
[2240.60s - 2240.60s]  mi
[2240.60s - 2240.60s]  się,
[2240.60s - 2241.82s]  że
[2241.82s - 2242.14s]  się
[2242.14s - 2242.62s]  wyrzucił,
[2242.62s - 2245.88s]  czy
[2245.88s - 2246.26s]  tak
[2246.26s - 2246.42s]  no
[2246.42s - 2246.76s]  być,
[2246.76s - 2246.86s]  to
[2246.86s - 2246.94s]  już
[2246.94s - 2247.08s]  nie
[2247.08s - 2247.48s]  zmiany
[2247.48s - 2248.88s]  będzie.
[2249.00s - 2249.70s]  A
[2249.70s - 2257.80s]  teraz
[2257.80s - 2258.10s]  jeszcze
[2258.10s - 2258.30s]  właśnie
[2258.30s - 2258.58s]  pytanie
[2258.58s - 2258.74s]  jest
[2258.74s - 2258.84s]  do
[2258.84s - 2260.50s]  proporcji,
[2260.00s - 2260.66s]  Na,
[2260.66s - 2260.84s]  na,
[2260.84s - 2261.10s]  na,
[2261.10s - 2261.12s]  na,
[2261.12s - 2261.24s]  na,
[2261.24s - 2261.38s]  na,
[2261.38s - 2261.40s]  na,
[2261.40s - 2261.68s]  na,
[2261.68s - 2261.74s]  na,
[2261.74s - 2261.92s]  na,
[2261.92s - 2261.94s]  na,
[2261.94s - 2262.18s]  na,
[2262.18s - 2263.38s]  na,
[2263.38s - 2264.34s]  na,
[2264.34s - 2264.80s]  na,
[2264.80s - 2265.40s]  na,
[2265.40s - 2265.40s]  na,
[2265.40s - 2265.44s]  na,
[2265.44s - 2265.54s]  na,
[2265.54s - 2265.56s]  na,
[2265.56s - 2265.56s]  na,
[2265.56s - 2265.62s]  na,
[2265.62s - 2265.70s]  na,
[2265.70s - 2265.70s]  na,
[2265.70s - 2265.90s]  na,
[2265.90s - 2265.90s]  na,
[2265.90s - 2266.02s]  na,
[2266.02s - 2266.14s]  na,
[2266.14s - 2266.16s]  na,
[2266.16s - 2266.16s]  na,
[2266.16s - 2266.16s]  na,
[2266.16s - 2266.26s]  na,
[2266.26s - 2266.26s]  na,
[2266.26s - 2266.78s]  na,
[2266.78s - 2266.78s]  na,
[2266.78s - 2266.78s]  na,
[2266.78s - 2266.78s]  na,
[2266.78s - 2266.78s]  na,
[2266.78s - 2266.78s]  na,
[2266.78s - 2266.84s]  na,
[2266.84s - 2266.84s]  na,
[2266.84s - 2266.84s]  na,
[2266.84s - 2266.84s]  na,
[2266.84s - 2266.84s]  na,
[2266.84s - 2266.84s]  na,
[2266.84s - 2266.84s]  na,
[2266.84s - 2266.96s]  na,
[2266.96s - 2267.00s]  na,
[2267.00s - 2267.00s]  na,
[2267.00s - 2267.00s]  na,
[2267.00s - 2267.00s]  na,
[2267.00s - 2267.00s]  na,
[2267.00s - 2267.00s]  na,
[2267.00s - 2267.00s]  na,
[2267.00s - 2267.00s]  na,
[2267.00s - 2267.00s]  na,
[2267.00s - 2267.00s]  na,
[2267.00s - 2267.00s]  na,
[2267.00s - 2267.00s]  na,
[2267.00s - 2267.00s]  na,
[2267.00s - 2267.70s]  na,
[2267.70s - 2267.70s]  na,
[2267.70s - 2267.70s]  na,
[2267.70s - 2267.70s]  na,
[2267.70s - 2267.70s]  na,
[2267.70s - 2267.80s]  na,
[2267.80s - 2268.34s]  na,
[2268.34s - 2268.34s]  na,
[2268.34s - 2268.34s]  na,
[2268.34s - 2268.34s]  na,
[2268.34s - 2268.34s]  na,
[2268.34s - 2268.34s]  na,
[2268.34s - 2268.34s]  na,
[2268.34s - 2268.44s]  na,
[2268.44s - 2268.44s]  na,
[2268.44s - 2268.44s]  na,
[2268.44s - 2268.44s]  na,
[2268.44s - 2268.44s]  na,
[2268.44s - 2268.44s]  na,
[2268.44s - 2268.44s]  na,
[2268.44s - 2268.44s]  na,
[2268.44s - 2268.44s]  na,
[2268.44s - 2268.44s]  na,
[2268.44s - 2268.44s]  na,
[2268.44s - 2268.44s]  na,
[2268.44s - 2268.44s]  na,
[2268.44s - 2268.44s]  na,
[2268.44s - 2268.44s]  na,
[2268.44s - 2268.44s]  na,
[2268.44s - 2268.44s]  na,
[2268.44s - 2268.44s]  na,
[2268.44s - 2268.44s]  na,
[2268.44s - 2268.44s]  na,
[2268.44s - 2268.44s]  na,
[2268.44s - 2268.44s]  na,
[2268.44s - 2268.44s]  na,
[2268.44s - 2268.44s]  na,
[2268.44s - 2268.44s]  na,
[2268.44s - 2268.62s]  na,
[2268.62s - 2268.62s]  na,
[2268.62s - 2268.62s]  na,
[2268.62s - 2268.62s]  na,
[2268.62s - 2268.62s]  na,
[2275.38s - 2275.38s]  na,
[2275.38s - 2275.38s]  na,
[2275.38s - 2275.38s]  na,
[2275.38s - 2276.10s]  na,
[2276.10s - 2276.10s]  na,
[2276.10s - 2276.10s]  na,
[2276.10s - 2276.10s]  na,
[2276.10s - 2276.10s]  na,
[2276.10s - 2276.10s]  na,
[2276.10s - 2276.10s]  na,
[2276.10s - 2276.10s]  na,
[2276.10s - 2276.10s]  na,
[2276.10s - 2276.10s]  na,
[2276.10s - 2276.10s]  na,
[2276.10s - 2276.10s]  na,
[2276.10s - 2276.10s]  na,
[2276.10s - 2276.10s]  na,
[2276.10s - 2276.10s]  na,
[2276.10s - 2276.10s]  na,
[2276.10s - 2276.10s]  na,
[2276.10s - 2276.10s]  na,
[2276.10s - 2276.12s]  na,
[2276.12s - 2276.12s]  na,
[2276.12s - 2276.12s]  na,
[2276.12s - 2276.12s]  na,
[2276.12s - 2276.12s]  na,
[2276.12s - 2276.92s]  na,
[2276.92s - 2277.02s]  na,
[2277.02s - 2277.66s]  na,
[2277.66s - 2277.94s]  na,
[2277.94s - 2277.94s]  na,
[2277.94s - 2277.94s]  na,
[2277.94s - 2277.94s]  na,
[2277.94s - 2279.42s]  na,
[2279.42s - 2279.42s]  na,
[2279.42s - 2279.42s]  na,
[2279.42s - 2279.42s]  na,
[2279.42s - 2279.42s]  na,
[2279.42s - 2279.42s]  na,
[2279.42s - 2279.42s]  na,
[2279.42s - 2279.42s]  na,
[2279.42s - 2279.48s]  na,
[2279.48s - 2279.76s]  na,
[2279.76s - 2279.76s]  na,
[2279.76s - 2279.76s]  na,
[2279.76s - 2279.76s]  na,
[2279.76s - 2279.76s]  na,
[2279.76s - 2279.76s]  na,
[2279.76s - 2282.48s]  na,
[2282.48s - 2282.48s]  na,
[2282.48s - 2282.48s]  na,
[2282.48s - 2282.48s]  na,
[2282.48s - 2282.48s]  na,
[2282.48s - 2282.48s]  na,
[2282.48s - 2282.72s]  na,
[2282.72s - 2282.72s]  na,
[2282.72s - 2282.72s]  na
[2282.72s - 2296.70s] ,nę,
[2296.70s - 2296.90s]  że
[2296.90s - 2296.90s]  nie
[2296.90s - 2296.90s]  zacznę,
[2296.90s - 2296.90s]  że
[2296.90s - 2297.22s]  nie
[2297.22s - 2297.66s]  zacznę,
[2297.66s - 2297.90s]  że
[2297.90s - 2297.92s]  nie
[2297.92s - 2297.98s]  zacznę,
[2297.98s - 2297.98s]  że
[2297.98s - 2298.02s]  nie
[2298.02s - 2298.40s]  zacznę,
[2298.40s - 2298.40s]  że
[2298.40s - 2298.40s]  nie
[2298.40s - 2298.40s]  zacznę,
[2298.40s - 2298.40s]  że
[2298.40s - 2298.40s]  nie
[2298.40s - 2298.60s]  zacznę,
[2298.60s - 2298.72s]  że
[2298.72s - 2299.08s]  nie
[2299.08s - 2299.08s]  zacznę,
[2299.08s - 2299.08s]  że
[2299.08s - 2299.42s]  nie
[2299.42s - 2299.42s]  zacznę,
[2299.42s - 2299.42s]  że
[2299.42s - 2299.42s]  nie
[2299.42s - 2299.42s]  zacznę,
[2299.42s - 2299.76s]  że
[2299.76s - 2300.62s]  nie
[2300.62s - 2300.62s]  zacznę,
[2300.62s - 2300.62s]  że
[2300.62s - 2300.62s]  nie
[2300.62s - 2300.62s]  zacznę,
[2300.62s - 2300.62s]  że
[2300.62s - 2300.78s]  nie
[2300.78s - 2300.78s]  zacznę,
[2300.78s - 2300.78s]  że
[2300.78s - 2300.98s]  nie
[2300.98s - 2301.26s]  zacznę,
[2301.26s - 2301.26s]  że
[2301.26s - 2301.26s]  nie
[2301.26s - 2301.26s]  zacznę,
[2301.26s - 2301.26s]  że
[2301.26s - 2301.26s]  nie
[2301.26s - 2301.26s]  zacznę,
[2301.26s - 2301.26s]  że
[2301.26s - 2301.26s]  nie
[2301.26s - 2301.26s]  zacznę,
[2301.26s - 2301.26s]  że
[2301.26s - 2301.26s]  nie
[2301.26s - 2301.26s]  zacznę,
[2301.26s - 2301.26s]  że
[2301.26s - 2302.10s]  nie
[2302.10s - 2302.10s]  zacznę,
[2302.10s - 2302.10s]  że
[2302.10s - 2302.10s]  nie
[2302.10s - 2302.10s]  zacznę,
[2302.10s - 2302.10s]  że
[2302.10s - 2302.10s]  nie
[2302.10s - 2302.10s]  zacznę,
[2302.10s - 2302.10s]  że
[2302.10s - 2302.10s]  nie
[2302.10s - 2302.26s]  zacznę,
[2302.26s - 2302.26s]  że
[2302.26s - 2302.34s]  nie
[2302.34s - 2302.34s]  zacznę,
[2302.34s - 2302.34s]  że
[2302.34s - 2302.34s]  nie
[2302.34s - 2302.48s]  zacznę,
[2302.48s - 2302.48s]  że
[2302.48s - 2302.82s]  nie
[2302.82s - 2302.90s]  zacznę,
[2302.90s - 2302.90s]  że
[2302.90s - 2303.40s]  nie
[2303.40s - 2303.78s]  zacznę,
[2303.78s - 2303.78s]  że
[2303.78s - 2303.78s]  nie
[2303.78s - 2303.78s]  zacznę,
[2303.78s - 2303.78s]  że
[2303.78s - 2303.90s]  nie
[2303.90s - 2304.46s]  zacznę,
[2304.46s - 2304.48s]  że
[2304.48s - 2304.76s]  nie
[2304.76s - 2305.12s]  zacznę,
[2305.12s - 2305.12s]  że
[2305.12s - 2306.20s]  nie
[2306.20s - 2306.22s]  zacznę,
[2306.22s - 2306.22s]  że
[2306.22s - 2306.22s]  nie
[2306.22s - 2306.44s]  zacznę,
[2306.44s - 2306.44s]  że
[2306.44s - 2306.44s]  nie
[2306.44s - 2306.44s]  zacznę,
[2306.44s - 2306.44s]  że
[2306.44s - 2306.44s]  nie
[2306.44s - 2307.38s]  zacznę,
[2307.38s - 2307.38s]  że
[2307.38s - 2307.38s]  nie
[2307.38s - 2307.38s]  zacznę,
[2307.38s - 2307.38s]  że
[2307.38s - 2307.38s]  nie
[2307.38s - 2307.76s]  zacznę,
